"filename", "language", "JSON", "Markdown", "YAML", "Shell Script", "JavaScript", "CSS", "Docker", "HTML", "comment", "blank", "total"
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\CODE_OF_CONDUCT.md", "Markdown", 0, 57, 0, 0, 0, 0, 0, 0, 0, 20, 77
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 29, 0, 9, 8, 46
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\README.md", "Markdown", 0, 31, 0, 0, 0, 0, 0, 0, 0, 24, 55
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\appspec.yml", "YAML", 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\codebuild\buildspec.yml", "YAML", 0, 0, 17, 0, 0, 0, 0, 0, 5, 5, 27
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\config\vite.config.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 0, 4, 0, 13
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 22, 1, 13, 36
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\package-lock.json", "JSON", 13008, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13009
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\package.json", "JSON", 52, 0, 0, 0, 0, 0, 0, 0, 0, 1, 53
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\public\arrivals\arrivalHospital.json", "JSON", 2085, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2085
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\public\arrivals\arrivalSecondPatient.json", "JSON", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85
